blueprintTypeID,activity,time
832,2,945
832,3,945
833,1,2160
833,4,51000
833,0,2700
833,2,945
833,3,945
834,1,720
834,4,13800
834,0,900
834,2,315
834,3,315
835,1,720
835,4,13800
835,0,900
835,2,315
835,3,315
836,1,720
836,4,13800
836,0,900
836,2,315
836,3,315
837,1,720
837,4,13800
837,0,900
837,2,315
837,3,315
838,1,720
838,4,13800
838,0,900
838,2,315
838,3,315
839,1,1440
839,4,30900
839,0,1800
839,2,630
839,3,630
840,1,1440
840,4,30900
840,0,1800
840,2,630
840,3,630
841,1,1440
841,4,30900
841,0,1800
841,2,630
841,3,630
842,1,1440
842,4,30900
842,0,1800
842,2,630
842,3,630
843,1,1440
843,4,30900
843,0,1800
843,2,630
843,3,630
844,1,2160
844,4,51000
844,0,2700
844,2,945
844,3,945
845,1,2160
845,4,51000
845,0,2700
845,2,945
845,3,945
846,1,2160
846,4,51000
846,0,2700
846,2,945
846,3,945
847,1,2160
847,4,51000
847,0,2700
847,2,945
847,3,945
848,1,2160
848,4,51000
848,0,2700
848,2,945
848,3,945
879,1,240
879,4,22800
879,0,300
879,2,105
879,3,105
880,1,240
880,4,22800
880,0,300
880,2,105
880,3,105
881,1,240
881,0,300
881,2,105
881,3,105
882,1,240
882,4,22800
882,0,300
882,2,105
882,3,105
883,1,240
883,4,22800
883,0,300
883,2,105
883,3,105
884,1,240
884,0,300
884,2,105
884,3,105
885,1,240
885,0,300
885,2,105
885,3,105
886,1,240
886,0,300
886,2,105
886,3,105
887,1,480
887,4,45600
887,0,600
887,2,210
887,3,210
888,1,480
888,4,45600
888,0,600
888,2,210
888,3,210
889,1,480
889,0,600
889,2,210
889,3,210
890,1,480
890,4,45600
890,0,600
890,2,210
890,3,210
891,1,480
891,4,45600
891,0,600
891,2,210
891,3,210
892,1,480
892,0,600
892,2,210
892,3,210
893,1,480
893,0,600
893,2,210
893,3,210
894,1,480
894,0,600
894,2,210
894,3,210
895,1,720
895,4,68100
895,0,900
895,2,315
895,3,315
896,1,720
896,4,68100
896,0,900
896,2,315
896,3,315
897,1,720
897,0,900
897,2,315
897,3,315
898,1,720
898,4,68100
898,0,900
898,2,315
898,3,315
899,1,720
899,4,68100
899,0,900
899,2,315
899,3,315
900,1,720
900,0,900
900,2,315
900,3,315
901,1,720
901,0,900
901,2,315
901,3,315
902,1,720
902,0,900
902,2,315
902,3,315
935,1,4800
935,2,2100
935,3,2100
936,1,4800
936,4,63900
936,0,6000
936,2,2100
936,3,2100
937,1,4800
937,4,63900
937,0,6000
937,2,2100
937,3,2100
938,1,4800
938,0,6000
938,2,2100
938,3,2100
939,1,4800
939,4,63900
939,0,6000
939,2,2100
939,3,2100
940,1,4800
940,4,63900
940,0,6000
940,2,2100
940,3,2100
941,1,4800
941,4,63900
941,0,6000
941,2,2100
941,3,2100
943,1,4800
943,2,2100
943,3,2100
944,1,4800
944,4,63900
944,0,6000
944,2,2100
944,3,2100
945,1,4800
945,4,63900
945,0,6000
945,2,2100
945,3,2100
946,1,4800
946,4,63900
946,0,6000
946,2,2100
946,3,2100
947,1,4800
947,0,6000
947,2,2100
947,3,2100
948,1,4800
948,2,2100
948,3,2100
949,1,4800
949,4,63900
949,0,6000
949,2,2100
949,3,2100
950,1,4800
950,4,63900
950,0,6000
950,2,2100
950,3,2100
952,1,4800
952,4,63900
952,0,6000
952,2,2100
952,3,2100
953,1,4800
953,2,2100
953,3,2100
954,1,4800
954,4,63900
954,0,6000
954,2,2100
954,3,2100
955,1,4800
955,4,63900
955,0,6000
955,2,2100
955,3,2100
956,1,4800
956,4,63900
956,0,6000
956,2,2100
956,3,2100
960,1,4800
960,0,6000
960,2,2100
960,3,2100
961,1,4800
961,0,6000
961,2,2100
961,3,2100
962,1,4800
962,0,6000
962,2,2100
962,3,2100
963,1,4800
963,0,6000
963,2,2100
963,3,2100
964,1,4800
964,0,6000
964,2,2100
964,3,2100
965,1,4800
965,0,6000
965,2,2100
965,3,2100
966,1,4800
966,0,6000
966,2,2100
966,3,2100
967,1,4800
967,0,6000
967,2,2100
967,3,2100
968,1,9600
968,4,128100
968,0,12000
968,2,4200
968,3,4200
969,1,9600
969,4,128100
969,0,12000
969,2,4200
969,3,4200
970,1,9600
970,4,128100
970,0,12000
970,2,4200
970,3,4200
971,1,9600
971,4,128100
971,0,12000
971,2,4200
971,3,4200
972,1,9600
972,4,128100
972,0,12000
972,2,4200
972,3,4200
973,1,9600
973,4,128100
973,0,12000
973,2,4200
973,3,4200
974,1,9600
974,4,128100
974,0,12000
974,2,4200
974,3,4200
975,1,9600
975,4,128100
975,0,12000
975,2,4200
975,3,4200
976,1,9600
976,4,128100
976,0,12000
976,2,4200
976,3,4200
977,1,9600
977,4,128100
977,0,12000
977,2,4200
977,3,4200
978,1,9600
978,4,128100
978,0,12000
978,2,4200
978,3,4200
979,1,9600
979,4,128100
979,0,12000
979,2,4200
979,3,4200
983,1,9600
983,4,128100
983,0,12000
983,2,4200
983,3,4200
984,1,9600
984,4,128100
984,0,12000
984,2,4200
984,3,4200
985,1,9600
985,4,128100
985,0,12000
985,2,4200
985,3,4200
986,1,9600
986,0,12000
986,2,4200
986,3,4200
987,1,9600
987,4,128100
987,0,12000
987,2,4200
987,3,4200
988,1,9600
988,4,128100
988,0,12000
988,2,4200
988,3,4200
989,1,9600
989,0,12000
989,2,4200
989,3,4200
990,1,9600
990,4,128100
990,0,12000
990,2,4200
990,3,4200
991,1,9600
991,0,12000
991,2,4200
991,3,4200
992,1,9600
992,0,12000
992,2,4200
992,3,4200
994,1,14400
994,4,192000
994,0,18000
994,2,6300
994,3,6300
995,1,14400
995,4,192000
995,0,18000
995,2,6300
995,3,6300
996,1,14400
996,4,192000
996,0,18000
996,2,6300
996,3,6300
997,1,14400
997,4,192000
997,0,18000
997,2,6300
997,3,6300
998,1,14400
998,4,192000
998,0,18000
998,2,6300
998,3,6300
999,1,14400
999,4,192000
999,0,18000
999,2,6300
999,3,6300
1002,1,7200000
1002,0,9000000
1002,2,126000
1002,3,126000
1010,1,720
1010,4,13800
1010,0,900
1010,2,315
1010,3,315
1013,1,1872
1013,0,2340
1013,2,819
1013,3,819
1026,1,1440
1026,4,30900
1026,0,1800
1026,2,630
1026,3,630
1027,1,3744
1027,0,4680
1027,2,1638
1027,3,1638
1032,1,720
1032,4,13800
1032,0,900
1032,2,315
1032,3,315
1033,1,1872
1033,0,2340
1033,2,819
1033,3,819
1067,1,720
1067,4,13800
1067,0,900
1067,2,315
1067,3,315
1071,1,1872
1071,0,2340
1071,2,819
1071,3,819
1072,1,720
1072,4,13800
1072,0,900
1072,2,315
1072,3,315
1073,1,1872
1073,0,2340
1073,2,819
1073,3,819
1074,1,1440
1074,4,30900
1074,0,1800
1074,2,630
1074,3,630
1075,1,1440
1075,4,30900
1075,0,1800
1075,2,630
1075,3,630
1076,1,1440
1076,4,30900
1076,0,1800
1076,2,630
1076,3,630
1079,1,1440
1079,4,30900
1079,0,1800
1079,2,630
1079,3,630
1080,1,3744
1080,0,4680
1080,2,1638
1080,3,1638
1095,1,1872
1095,0,2340
1095,2,819
1095,3,819
1096,1,720
1096,4,13800
1096,0,900
1096,2,315
1096,3,315
1099,1,720
1099,4,13800
1099,0,900
1099,2,315
1099,3,315
1100,1,720
1100,4,13800
1100,0,900
1100,2,315
1100,3,315
1102,1,1440
1102,4,30900
1102,0,1800
1102,2,630
1102,3,630
1103,1,3744
1103,0,4680
1103,2,1638
1103,3,1638
1105,1,720
1105,4,13800
1105,0,900
1105,2,315
1105,3,315
1106,1,720
1106,4,13800
1106,0,900
1106,2,315
1106,3,315
1109,1,720
1109,4,13800
1109,0,900
1109,2,315
1109,3,315
1112,1,720
1112,4,13800
1112,0,900
1112,2,315
1112,3,315
1113,1,720
1113,4,13800
1113,0,900
1113,2,315
1113,3,315
1114,1,720
1114,4,13800
1114,0,900
1114,2,315
1114,3,315
1115,1,720
1115,4,13800
1115,0,900
1115,2,315
1115,3,315
1116,1,720
1116,4,13800
1116,0,900
1116,2,315
1116,3,315
1117,1,1440
1117,4,30900
1117,0,1800
1117,2,630
1117,3,630
1118,1,1440
1118,4,30900
1118,0,1800
1118,2,630
1118,3,630
1119,1,1440
1119,4,30900
1119,0,1800
1119,2,630
1119,3,630
1120,1,1440
1120,4,30900
1120,0,1800
1120,2,630
1120,3,630
1121,1,1440
1121,4,30900
1121,0,1800
1121,2,630
1121,3,630
1122,1,2160
1122,4,51000
1122,0,2700
1122,2,945
1122,3,945
1123,1,2160
1123,4,51000
1123,0,2700
1123,2,945
1123,3,945
1124,1,2160
1124,4,51000
1124,0,2700
1124,2,945
1124,3,945
1125,1,2160
1125,4,51000
1125,0,2700
1125,2,945
1125,3,945
1126,1,2160
1126,4,51000
1126,0,2700
1126,2,945
1126,3,945
1128,1,1440
1128,4,30900
1128,0,1800
1128,2,630
1128,3,630
1129,1,1440
1129,4,30900
1129,0,1800
1129,2,630
1129,3,630
1130,1,240
1130,0,300
1130,2,105
1130,3,105
1131,1,240
1131,0,300
1131,2,105
1131,3,105
1132,1,240
1132,4,22800
1132,0,300
1132,2,105
1132,3,105
1133,1,240
1133,0,300
1133,2,105
1133,3,105
1134,1,240
1134,4,22800
1134,0,300
1134,2,105
1134,3,105
1135,1,240
1135,0,300
1135,2,105
1135,3,105
1136,1,240
1136,4,22800
1136,0,300
1136,2,105
1136,3,105
1137,1,240
1137,4,22800
1137,0,300
1137,2,105
1137,3,105
1138,1,480
1138,0,600
1138,2,210
1138,3,210
1139,1,480
1139,0,600
1139,2,210
1139,3,210
1140,1,480
1140,4,45600
1140,0,600
1140,2,210
1140,3,210
1141,1,480
1141,0,600
1141,2,210
1141,3,210
1142,1,480
1142,4,45600
1142,0,600
1142,2,210
1142,3,210
1143,1,480
1143,0,600
1143,2,210
1143,3,210
1144,1,480
1144,4,45600
1144,0,600
1144,2,210
1144,3,210
1145,1,480
1145,4,45600
1145,0,600
1145,2,210
1145,3,210
1146,1,720
1146,0,900
1146,2,315
1146,3,315
1147,1,720
1147,0,900
1147,2,315
1147,3,315
1148,1,720
1148,4,68100
1148,0,900
1148,2,315
1148,3,315
1149,1,720
1149,0,900
1149,2,315
1149,3,315
1150,1,720
1150,4,68100
1150,0,900
1150,2,315
1150,3,315
1151,1,720
1151,0,900
1151,2,315
1151,3,315
1152,1,720
1152,4,68100
1152,0,900
1152,2,315
1152,3,315
1153,1,720
1153,4,68100
1153,0,900
1153,2,315
1153,3,315
1154,1,240
1154,4,22800
1154,0,300
1154,2,105
1154,3,105
1155,1,240
1155,0,300
1155,2,105
1155,3,105
1156,1,240
1156,0,300
1156,2,105
1156,3,105
1157,1,240
1157,0,300
1157,2,105
1157,3,105
1158,1,240
1158,4,22800
1158,0,300
1158,2,105
1158,3,105
1159,1,240
1159,4,22800
1159,0,300
1159,2,105
1159,3,105
1160,1,240
1160,0,300
1160,2,105
1160,3,105
1161,1,240
1161,4,22800
1161,0,300
1161,2,105
1161,3,105
1162,1,480
1162,4,45600
1162,0,600
1162,2,210
1162,3,210
1163,1,480
1163,0,600
1163,2,210
1163,3,210
1164,1,480
1164,0,600
1164,2,210
1164,3,210
1165,1,480
1165,0,600
1165,2,210
1165,3,210
1166,1,480
1166,4,45600
1166,0,600
1166,2,210
1166,3,210
1167,1,480
1167,4,45600
1167,0,600
1167,2,210
1167,3,210
1168,1,480
1168,0,600
1168,2,210
1168,3,210
1169,1,480
1169,4,45600
1169,0,600
1169,2,210
1169,3,210
1170,1,720
1170,4,68100
1170,0,900
1170,2,315
1170,3,315
1171,1,720
1171,0,900
1171,2,315
1171,3,315
1172,1,720
1172,0,900
1172,2,315
1172,3,315
1173,1,720
1173,0,900
1173,2,315
1173,3,315
1174,1,720
1174,4,68100
1174,0,900
1174,2,315
1174,3,315
1175,1,720
1175,4,68100
1175,0,900
1175,2,315
1175,3,315
1176,1,720
1176,0,900
1176,2,315
1176,3,315
1177,1,720
1177,4,68100
1177,0,900
1177,2,315
1177,3,315
1178,1,240
1178,0,300
1178,2,105
1178,3,105
1179,1,240
1179,0,300
1179,2,105
1179,3,105
1184,1,1872
1184,0,2340
1184,2,819
1184,3,819
1186,1,720
1186,4,13800
1186,0,900
1186,2,315
1186,3,315
1191,1,1872
1191,0,2340
1191,2,819
1191,3,819
1196,1,1440
1196,4,30900
1196,0,1800
1196,2,630
1196,3,630
1204,1,720
1204,4,13800
1204,0,900
1204,2,315
1204,3,315
1205,1,1872
1205,0,2340
1205,2,819
1205,3,819
1208,1,2160
1208,4,51000
1208,0,2700
1208,2,945
1208,3,945
1210,1,1440
1210,4,30900
1210,0,1800
1210,2,630
1210,3,630
1212,1,1440
1212,4,30900
1212,0,1800
1212,2,630
1212,3,630
1214,1,720
1214,4,23700
1214,0,900
1214,2,315
1214,3,315
1216,1,240
1216,0,300
1216,2,105
1216,3,105
1217,1,240
1217,0,300
1217,2,105
1217,3,105
1218,1,240
1218,0,300
1218,2,105
1218,3,105
1220,1,240
1220,4,22800
1220,0,300
1220,2,105
1220,3,105
1221,1,720
1221,4,68100
1221,0,900
1221,2,315
1221,3,315
1237,1,1872
1237,0,2340
1237,2,819
1237,3,819
1245,1,720
1245,4,13800
1245,0,900
1245,2,315
1245,3,315
1247,1,720
1247,4,13800
1247,0,900
1247,2,315
1247,3,315
1249,1,1872
1249,0,2340
1249,2,819
1249,3,819
1255,1,720
1255,4,13800
1255,0,900
1255,2,315
1255,3,315
1257,1,1872
1257,0,2340
1257,2,819
1257,3,819
1265,1,720
1265,4,13800
1265,0,900
1265,2,315
1265,3,315
1267,1,1872
1267,0,2340
1267,2,819
1267,3,819
1275,1,720
1275,4,13800
1275,0,900
1275,2,315
1275,3,315
1277,1,1872
1277,0,2340
1277,2,819
1277,3,819
1285,1,720
1285,4,13800
1285,0,900
1285,2,315
1285,3,315
1287,1,1872
1287,0,2340
1287,2,819
1287,3,819
1295,1,720
1295,4,13800
1295,0,900
1295,2,315
1295,3,315
1297,1,1872
1297,0,2340
1297,2,819
1297,3,819
1305,1,720
1305,4,13800
1305,0,900
1305,2,315
1305,3,315
1307,1,1872
1307,0,2340
1307,2,819
1307,3,819
1318,1,720
1318,4,13800
1318,0,900
1318,2,315
1318,3,315
1320,1,1872
1320,0,2340
1320,2,819
1320,3,819
1334,1,720
1334,4,13800
1334,0,900
1334,2,315
1334,3,315
1336,1,1872
1336,0,2340
1336,2,819
1336,3,819
1354,1,720
1354,4,13800
1354,0,900
1354,2,315
1354,3,315
1356,1,1872
1356,0,2340
1356,2,819
1356,3,819
1404,1,720
1404,4,13800
1404,0,900
1404,2,315
1404,3,315
1406,1,1872
1406,0,2340
1406,2,819
1406,3,819
1423,1,1872
1423,0,2340
1423,2,819
1423,3,819
1437,1,5616
1437,0,7020
1437,2,2457
1437,3,2457
1446,1,720
1446,4,13800
1446,0,900
1446,2,315
1446,3,315
1448,1,1872
1448,0,2340
1448,2,819
1448,3,819
1540,1,720
1540,4,13800
1540,0,900
1540,2,315
1540,3,315
1542,1,1872
1542,0,2340
1542,2,819
1542,3,819
1548,1,720
1548,4,13800
1548,0,900
1548,2,315
1548,3,315
1550,1,1872
1550,0,2340
1550,2,819
1550,3,819
1552,1,720
1552,4,13800
1552,0,900
1552,2,315
1552,3,315
1554,1,1872
1554,0,2340
1554,2,819
1554,3,819
1558,1,720
1558,4,13800
1558,0,900
1558,2,315
1558,3,315
1560,1,1872
1560,0,2340
1560,2,819
1560,3,819
1564,1,720
1564,4,13800
1564,0,900
1564,2,315
1564,3,315
1566,1,1872
1566,0,2340
1566,2,819
1566,3,819
1809,1,1440
1809,4,30900
1809,0,1800
1809,2,630
1809,3,630
1811,1,240
1811,0,300
1811,2,105
1811,3,105
1815,1,240
1815,0,300
1815,2,105
1815,3,105
1817,1,240
1817,0,300
1817,2,105
1817,3,105
1819,1,480
1819,0,600
1819,2,210
1819,3,210
1821,1,480
1821,0,600
1821,2,210
1821,3,210
1823,1,480
1823,0,600
1823,2,210
1823,3,210
1825,1,480
1825,0,600
1825,2,210
1825,3,210
1827,1,720
1827,0,900
1827,2,315
1827,3,315
1829,1,720
1829,0,900
1829,2,315
1829,3,315
1831,1,720
1831,0,900
1831,2,315
1831,3,315
1833,1,720
1833,0,900
1833,2,315
1833,3,315
1856,1,3744
1856,0,4680
1856,2,1638
1856,3,1638
1876,1,1440
1876,4,30900
1876,0,1800
1876,2,630
1876,3,630
1878,1,3744
1878,0,4680
1878,2,1638
1878,3,1638
1945,1,9600
1945,4,128100
1945,0,12000
1945,2,4200
1945,3,4200
2007,1,9600
2007,4,128100
2007,0,12000
2007,2,4200
2007,3,4200
2019,1,1440
2019,4,30900
2019,0,1800
2019,2,630
2019,3,630
2021,1,1440
2021,4,30900
2021,0,1800
2021,2,630
2021,3,630
2023,1,2160
2023,4,51000
2023,0,2700
2023,2,945
2023,3,945
2025,1,3744
2025,0,4680
2025,2,1638
2025,3,1638
2033,1,3744
2033,0,4680
2033,2,1638
2033,3,1638
2039,1,3744
2039,0,4680
2039,2,1638
2039,3,1638
2047,1,720
2047,4,13800
2047,0,900
2047,2,315
2047,3,315
2049,1,1872
2049,0,2340
2049,2,819
2049,3,819
2118,1,3744
2118,0,4680
2118,2,1638
2118,3,1638
2162,1,4800
2162,4,63900
2162,0,6000
2162,2,2100
2162,3,2100
2174,1,480
2174,4,15900
2174,0,600
2174,2,210
2174,3,210
2176,1,2400
2176,0,3000
2176,2,1050
2176,3,1050
2179,1,720
2179,0,900
2179,2,315
2179,3,315
2184,1,480
2184,4,15900
2184,0,600
2184,2,210
2184,3,210
2186,1,2400
2186,0,3000
2186,2,1050
2186,3,1050
2194,1,720
2194,4,23700
2194,0,900
2194,2,315
2194,3,315
2196,1,3600
2196,0,4500
2196,2,1575
2196,3,1575
2204,1,240
2204,4,7800
2204,0,300
2204,2,105
2204,3,105
2206,1,1200
2206,0,1500
2206,2,525
2206,3,525
2211,1,720
2211,0,900
2211,2,315
2211,3,315
2213,1,480
2213,0,600
2213,2,210
2213,3,210
2282,1,3744
2282,0,4680
2282,2,1638
2282,3,1638
2290,1,1440
2290,4,30900
2290,0,1800
2290,2,630
2290,3,630
2292,1,1440
2292,4,30900
2292,0,1800
2292,2,630
2292,3,630
2294,1,1440
2294,4,30900
2294,0,1800
2294,2,630
2294,3,630
2296,1,1440
2296,4,30900
2296,0,1800
2296,2,630
2296,3,630
2298,1,3744
2298,0,4680
2298,2,1638
2298,3,1638
2300,1,3744
2300,0,4680
2300,2,1638
2300,3,1638
2302,1,3744
2302,0,4680
2302,2,1638
2302,3,1638
2304,1,3744
2304,0,4680
2304,2,1638
2304,3,1638
2332,1,720
2332,4,13800
2332,0,900
2332,2,315
2332,3,315
2334,1,3744
2334,0,4680
2334,2,1638
2334,3,1638
2342,1,3744
2342,0,4680
2342,2,1638
2342,3,1638
2356,1,1872
2356,0,2340
2356,2,819
2356,3,819
2405,1,1872
2405,0,2340
2405,2,819
2405,3,819
2411,1,3744
2411,0,4680
2411,2,1638
2411,3,1638
2421,1,5616
2421,0,7020
2421,2,2457
2421,3,2457
2437,1,3600
2437,0,4500
2437,2,1575
2437,3,1575
2445,1,720
2445,4,23700
2445,0,900
2445,2,315
2445,3,315
2447,1,3600
2447,0,4500
2447,2,1575
2447,3,1575
2455,1,240
2455,4,7800
2455,0,300
2455,2,105
2455,3,105
2457,1,1200
2457,0,1500
2457,2,525
2457,3,525
2465,1,240
2465,4,7800
2465,0,300
2465,2,105
2465,3,105
2467,1,1200
2467,0,1500
2467,2,525
2467,3,525
2477,1,720
2477,4,23700
2477,0,900
2477,2,315
2477,3,315
2479,1,3600
2479,0,4500
2479,2,1575
2479,3,1575
2487,1,240
2487,4,7800
2487,0,300
2487,2,105
2487,3,105
2489,1,1200
2489,0,1500
2489,2,525
2489,3,525
2507,1,720
2507,4,68100
2507,0,900
2507,2,315
2507,3,315
2509,1,720
2509,4,68100
2509,0,900
2509,2,315
2509,3,315
2511,1,720
2511,4,68100
2511,0,900
2511,2,315
2511,3,315
2513,1,240
2513,4,22800
2513,0,300
2513,2,105
2513,3,105
2515,1,240
2515,4,22800
2515,0,300
2515,2,105
2515,3,105
2517,1,240
2517,4,22800
2517,0,300
2517,2,105
2517,3,105
2530,1,1440
2530,4,30900
2530,0,1800
2530,2,630
2530,3,630
2532,1,3744
2532,0,4680
2532,2,1638
2532,3,1638
2538,1,1440
2538,4,30900
2538,0,1800
2538,2,630
2538,3,630
2540,1,3744
2540,0,4680
2540,2,1638
2540,3,1638
2546,1,1440
2546,4,30900
2546,0,1800
2546,2,630
2546,3,630
2548,1,3744
2548,0,4680
2548,2,1638
2548,3,1638
2554,1,3744
2554,0,4680
2554,2,1638
2554,3,1638
2604,1,720
2604,4,13800
2604,0,900
2604,2,315
2604,3,315
2606,1,1872
2606,0,2340
2606,2,819
2606,3,819
2614,1,3840
2614,0,4800
2614,2,168
2614,3,168
2622,1,11520
2622,0,14400
2622,2,504
2622,3,504
2630,1,7680
2630,0,9600
2630,2,336
2630,3,336
2638,1,11520
2638,0,14400
2638,2,504
2638,3,504
2648,1,3840
2648,0,4800
2648,2,168
2648,3,168
2656,1,7680
2656,0,9600
2656,2,336
2656,3,336
2680,1,7680
2680,0,9600
2680,2,336
2680,3,336
2735,1,96000
2735,0,120000
2735,2,42000
2735,3,42000
2736,1,9600
2736,0,12000
2736,2,4200
2736,3,4200
2737,1,48000
2737,0,60000
2737,2,21000
2737,3,21000
2738,1,48000
2738,0,60000
2738,2,21000
2738,3,21000
2739,1,240
2739,0,300
2739,2,105
2739,3,105
2740,1,9600
2740,0,12000
2740,2,4200
2740,3,4200
2741,1,9600
2741,0,12000
2741,2,4200
2741,3,4200
2742,1,14400
2742,0,18000
2742,2,6300
2742,3,6300
2743,1,14400
2743,0,18000
2743,2,6300
2743,3,6300
2744,1,9600
2744,0,12000
2744,2,4200
2744,3,4200
2745,1,14400
2745,0,18000
2745,2,6300
2745,3,6300
2746,1,14400
2746,0,18000
2746,2,6300
2746,3,6300
2747,1,14400
2747,0,18000
2747,2,6300
2747,3,6300
2748,1,14400
2748,0,18000
2748,2,6300
2748,3,6300
2749,1,19200
2749,0,24000
2749,2,8400
2749,3,8400
2750,1,9600
2750,0,12000
2750,2,4200
2750,3,4200
2751,1,14400
2751,0,18000
2751,2,6300
2751,3,6300
2752,1,9600
2752,0,12000
2752,2,4200
2752,3,4200
2753,1,14400
2753,0,18000
2753,2,6300
2753,3,6300
2754,1,9600
2754,0,12000
2754,2,4200
2754,3,4200
2755,1,14400
2755,0,18000
2755,2,6300
2755,3,6300
2756,1,19200
2756,0,24000
2756,2,8400
2756,3,8400
2757,1,14400
2757,0,18000
2757,2,6300
2757,3,6300
2758,1,9600
2758,0,12000
2758,2,4200
2758,3,4200
2759,1,14400
2759,0,18000
2759,2,6300
2759,3,6300
2760,1,9600
2760,0,12000
2760,2,4200
2760,3,4200
2761,1,14400
2761,0,18000
2761,2,6300
2761,3,6300
2762,1,9600
2762,0,12000
2762,2,4200
2762,3,4200
2763,1,9600
2763,0,12000
2763,2,4200
2763,3,4200
2764,1,9600
2764,0,12000
2764,2,4200
2764,3,4200
2765,1,19200
2765,0,24000
2765,2,8400
2765,3,8400
2766,1,19200
2766,0,24000
2766,2,8400
2766,3,8400
2767,1,14400
2767,0,18000
2767,2,6300
2767,3,6300
2768,1,14400
2768,0,18000
2768,2,6300
2768,3,6300
2769,1,19200
2769,0,24000
2769,2,8400
2769,3,8400
2770,1,14400
2770,0,18000
2770,2,6300
2770,3,6300
2771,1,14400
2771,0,18000
2771,2,6300
2771,3,6300
2772,1,14400
2772,0,18000
2772,2,6300
2772,3,6300
2773,1,19200
2773,0,24000
2773,2,8400
2773,3,8400
2774,1,72000
2774,0,90000
2774,2,31500
2774,3,31500
2775,1,48000
2775,0,60000
2775,2,21000
2775,3,21000
2776,1,24000
2776,0,30000
2776,2,10500
2776,3,10500
2777,1,72000
2777,0,90000
2777,2,31500
2777,3,31500
2778,1,48000
2778,0,60000
2778,2,21000
2778,3,21000
2779,1,24000
2779,0,30000
2779,2,10500
2779,3,10500
2780,1,72000
2780,0,90000
2780,2,31500
2780,3,31500
2781,1,48000
2781,0,60000
2781,2,21000
2781,3,21000
2782,1,24000
2782,0,30000
2782,2,10500
2782,3,10500
2783,1,72000
2783,0,90000
2783,2,31500
2783,3,31500
2784,1,48000
2784,0,60000
2784,2,21000
2784,3,21000
2785,1,24000
2785,0,30000
2785,2,10500
2785,3,10500
2786,1,14400
2786,0,18000
2786,2,6300
2786,3,6300
2787,1,9600
2787,0,12000
2787,2,4200
2787,3,4200
2788,1,9600
2788,0,12000
2788,2,4200
2788,3,4200
2789,1,9600
2789,0,12000
2789,2,4200
2789,3,4200
2790,1,19200
2790,0,24000
2790,2,8400
2790,3,8400
2791,1,19200
2791,0,24000
2791,2,8400
2791,3,8400
2792,1,9600
2792,0,12000
2792,2,4200
2792,3,4200
