blueprintTypeID,activity,typeID,level
891,0,3380,1
892,0,3380,1
893,0,3380,1
894,0,3380,1
895,4,11452,1
895,4,11451,1
895,4,21791,1
895,0,3380,1
896,4,11452,1
896,4,11451,1
896,4,21791,1
896,0,3380,1
897,0,3380,1
898,4,11452,1
898,4,11451,1
898,4,21791,1
898,0,3380,1
899,4,11452,1
899,4,11451,1
899,4,21791,1
899,0,3380,1
900,0,3380,1
901,0,3380,1
902,0,3380,1
936,4,11444,1
936,4,11433,1
936,4,23087,1
936,0,3380,1
937,4,11442,1
937,4,11444,1
937,4,23087,1
937,0,3380,1
938,0,3380,1
939,4,11442,1
939,4,11450,1
939,4,23121,1
939,0,3380,1
940,4,11450,1
940,4,11452,1
940,4,23121,1
940,0,3380,1
941,4,11450,1
941,4,11452,1
941,4,23121,1
941,0,3380,1
944,4,11444,1
944,4,11452,1
944,4,23087,1
944,0,3380,1
945,4,11445,1
945,4,11452,1
945,4,21791,1
945,0,3380,1
946,4,11442,1
946,4,11445,1
946,4,21791,1
946,0,3380,1
947,0,3380,1
949,4,11452,1
949,4,21790,1
949,4,11454,1
949,0,3380,1
950,4,11452,1
950,4,21790,1
950,4,11454,1
950,0,3380,1
952,4,11455,1
952,4,21790,1
952,4,11454,1
952,0,3380,1
954,4,11450,1
954,4,11455,1
954,4,23121,1
954,0,3380,1
955,4,11450,1
955,4,11433,1
955,4,23121,1
955,0,3380,1
956,4,11450,1
956,4,11453,1
956,4,23121,1
956,0,3380,1
960,0,3380,1
961,0,3380,1
962,0,3380,1
963,0,3380,1
964,0,3380,1
965,0,3380,1
966,0,3380,1
967,0,3380,1
968,4,11452,1
968,4,21790,1
968,4,11454,1
968,0,3380,1
969,4,11444,1
969,4,11452,1
969,4,23087,1
969,0,3380,1
970,4,11444,1
970,4,11442,1
970,4,23087,1
970,0,3380,1
971,4,11450,1
971,4,11452,1
971,4,23121,1
971,0,3380,1
972,4,11450,1
972,4,11433,1
972,4,23121,1
972,0,3380,1
973,4,11444,1
973,4,11453,1
973,4,23087,1
973,0,3380,1
974,4,11445,1
974,4,11452,1
974,4,21791,1
974,0,3380,1
975,4,11445,1
975,4,11453,1
975,4,21791,1
975,0,3380,1
976,4,11445,1
976,4,11442,1
976,4,21791,1
976,0,3380,1
977,4,11453,1
977,4,21790,1
977,4,11454,1
977,0,3380,1
978,4,11450,1
978,4,11453,1
978,4,23121,1
978,0,3380,1
979,4,11450,1
979,4,11442,1
979,4,23121,1
979,0,3380,1
983,4,11529,1
983,4,21790,1
983,4,11454,1
983,0,3380,1
984,4,11529,1
984,4,21790,1
984,4,11454,1
984,0,3380,1
985,4,11450,1
985,4,11529,1
985,4,23121,1
985,0,3380,1
986,0,3380,1
987,4,11445,1
987,4,11529,1
987,4,21791,1
987,0,3380,1
988,4,11445,1
988,4,11529,1
988,4,21791,1
988,0,3380,1
989,0,3380,1
990,4,11450,1
990,4,11529,1
990,4,23121,1
990,0,3380,1
991,0,3380,1
992,0,3380,1
994,4,11453,1
994,4,21790,1
994,4,11454,1
994,0,3380,1
995,4,11450,1
995,4,11433,1
995,4,23121,1
995,0,3380,1
996,4,11444,1
996,4,11433,1
996,4,23087,1
996,0,3380,1
997,4,11444,1
997,4,11452,1
997,4,23087,1
997,0,3380,1
998,4,11445,1
998,4,11433,1
998,4,21791,1
998,0,3380,1
999,4,11450,1
999,4,11452,1
999,4,23121,1
999,0,3380,1
1002,0,22242,5
1010,4,11443,1
1010,4,11455,1
1010,4,21790,1
1010,0,3380,1
1013,1,11443,1
1013,1,11455,1
1013,0,3380,5
1013,0,11443,1
1013,0,11455,1
1013,2,11443,1
1013,2,11455,1
1013,3,11443,1
1013,3,11455,1
1026,4,11443,1
1026,4,11455,1
1026,4,21790,1
1026,0,3380,1
1027,1,11443,1
1027,1,11455,1
1027,0,3380,5
1027,0,11443,1
1027,0,11455,1
1027,2,11443,1
1027,2,11455,1
1027,3,11443,1
1027,3,11455,1
1032,4,11443,1
1032,4,11455,1
1032,4,21790,1
1032,0,3380,1
1033,1,11443,1
1033,1,11455,1
1033,0,3380,5
1033,0,11443,1
1033,0,11455,1
1033,2,11443,1
1033,2,11455,1
1033,3,11443,1
1033,3,11455,1
1067,4,11529,1
1067,4,11449,1
1067,4,21791,1
1067,0,3380,1
1071,1,11449,1
1071,1,11529,1
1071,0,3380,5
1071,0,11449,1
1071,0,11529,1
1071,2,3409,5
1071,2,11449,1
1071,2,11529,1
1071,3,3403,5
1071,3,11449,1
1071,3,11529,1
1072,4,11529,1
1072,4,11449,1
1072,4,21791,1
1072,0,3380,1
1073,1,11449,1
1073,1,11529,1
1073,0,3380,5
1073,0,11449,1
1073,0,11529,1
1073,2,3409,5
1073,2,11449,1
1073,2,11529,1
1073,3,3403,5
1073,3,11449,1
1073,3,11529,1
1074,4,11448,1
1074,4,11453,1
1074,4,21791,1
1074,0,3380,1
1075,4,11448,1
1075,4,11453,1
1075,4,21791,1
1075,0,3380,1
1076,4,11448,1
1076,4,11453,1
1076,4,21791,1
1076,0,3380,1
1079,4,11448,1
1079,4,11446,1
1079,4,21791,1
1079,0,3380,1
1080,1,11446,1
1080,1,11448,1
1080,0,3380,5
1080,0,11446,1
1080,0,11448,1
1080,2,3409,5
1080,2,11446,1
1080,2,11448,1
1080,3,3403,5
1080,3,11446,1
1080,3,11448,1
1095,1,11452,1
1095,1,11453,1
1095,0,3380,5
1095,0,11452,1
1095,0,11453,1
1095,2,3409,5
1095,2,11452,1
1095,2,11453,1
1095,3,3403,5
1095,3,11452,1
1095,3,11453,1
1096,4,11453,1
1096,4,11452,1
1096,4,21791,1
1096,0,3380,1
1099,4,11442,1
1099,4,11443,1
1099,4,23087,1
1099,0,3380,1
1100,4,11529,1
1100,4,11442,1
1100,4,23121,1
1100,0,3380,1
1102,4,11448,1
1102,4,11446,1
1102,4,21791,1
1102,0,3380,1
1103,1,11446,1
1103,1,11448,1
1103,0,3380,5
1103,0,11446,1
1103,0,11448,1
1103,2,3409,5
1103,2,11446,1
1103,2,11448,1
1103,3,3403,5
1103,3,11446,1
1103,3,11448,1
1105,4,11433,1
1105,4,11455,1
1105,4,23087,1
1105,0,3380,1
1106,4,11433,1
1106,4,11455,1
1106,4,23087,1
1106,0,3380,1
1109,4,11433,1
1109,4,11455,1
1109,4,23087,1
1109,0,3380,1
1112,4,11441,1
1112,4,11455,1
1112,4,23121,1
1112,0,3380,1
1113,4,11441,1
1113,4,11455,1
1113,4,23121,1
1113,0,3380,1
1114,4,11441,1
1114,4,11455,1
1114,4,23121,1
1114,0,3380,1
1115,4,11441,1
1115,4,11455,1
1115,4,23121,1
1115,0,3380,1
1116,4,11441,1
1116,4,11455,1
1116,4,23121,1
1116,0,3380,1
1117,4,11441,1
1117,4,11455,1
1117,4,23121,1
1117,0,3380,1
1118,4,11441,1
1118,4,11455,1
1118,4,23121,1
1118,0,3380,1
1119,4,11441,1
1119,4,11455,1
1119,4,23121,1
1119,0,3380,1
1120,4,11441,1
1120,4,11455,1
1120,4,23121,1
1120,0,3380,1
1121,4,11441,1
1121,4,11455,1
1121,4,23121,1
1121,0,3380,1
1122,4,11441,1
1122,4,11455,1
1122,4,23121,1
1122,0,3380,1
1123,4,11441,1
1123,4,11455,1
1123,4,23121,1
1123,0,3380,1
1124,4,11441,1
1124,4,11455,1
1124,4,23121,1
1124,0,3380,1
1125,4,11441,1
1125,4,11455,1
1125,4,23121,1
1125,0,3380,1
1126,4,11441,1
1126,4,11455,1
1126,4,23121,1
1126,0,3380,1
1128,4,11433,1
1128,4,11455,1
1128,4,23087,1
1128,0,3380,1
1129,4,11443,1
1129,4,11455,1
1129,4,21790,1
1129,0,3380,1
1130,0,3380,1
1131,0,3380,1
1132,4,11441,1
1132,4,11455,1
1132,4,23121,1
1132,0,3380,1
1133,0,3380,1
1134,4,11441,1
1134,4,11455,1
1134,4,23121,1
1134,0,3380,1
1135,0,3380,1
1136,4,11441,1
1136,4,11455,1
1136,4,23121,1
1136,0,3380,1
1137,4,11441,1
1137,4,11455,1
1137,4,23121,1
1137,0,3380,1
1138,0,3380,1
1139,0,3380,1
1140,4,11441,1
1140,4,11455,1
1140,4,23121,1
1140,0,3380,1
1141,0,3380,1
1142,4,11441,1
1142,4,11455,1
1142,4,23121,1
1142,0,3380,1
1143,0,3380,1
1144,4,11441,1
1144,4,11455,1
1144,4,23121,1
1144,0,3380,1
1145,4,11441,1
1145,4,11455,1
1145,4,23121,1
1145,0,3380,1
1146,0,3380,1
1147,0,3380,1
1148,4,11441,1
1148,4,11455,1
1148,4,23121,1
1148,0,3380,1
1149,0,3380,1
1150,4,11441,1
1150,4,11455,1
1150,4,23121,1
1150,0,3380,1
1151,0,3380,1
1152,4,11441,1
1152,4,11455,1
1152,4,23121,1
1152,0,3380,1
1153,4,11441,1
1153,4,11455,1
1153,4,23121,1
1153,0,3380,1
1154,4,11433,1
1154,4,11447,1
1154,4,23087,1
1154,0,3380,1
1155,0,3380,1
1156,0,3380,1
1157,0,3380,1
1158,4,11447,1
1158,4,11433,1
1158,4,23087,1
1158,0,3380,1
1159,4,11433,1
1159,4,11447,1
1159,4,23087,1
1159,0,3380,1
1160,0,3380,1
1161,4,11433,1
1161,4,11447,1
1161,4,23087,1
1161,0,3380,1
1162,4,11433,1
1162,4,11447,1
1162,4,23087,1
1162,0,3380,1
1163,0,3380,1
1164,0,3380,1
1165,0,3380,1
1166,4,11447,1
1166,4,11433,1
1166,4,23087,1
1166,0,3380,1
1167,4,11433,1
1167,4,11447,1
1167,4,23087,1
1167,0,3380,1
1168,0,3380,1
1169,4,11433,1
1169,4,11447,1
1169,4,23087,1
1169,0,3380,1
1170,4,11433,1
1170,4,11447,1
1170,4,23087,1
1170,0,3380,1
1171,0,3380,1
1172,0,3380,1
1173,0,3380,1
1174,4,11447,1
1174,4,11433,1
1174,4,23087,1
1174,0,3380,1
1175,4,11433,1
1175,4,11447,1
1175,4,23087,1
1175,0,3380,1
1176,0,3380,1
1177,4,11433,1
1177,4,11447,1
1177,4,23087,1
1177,0,3380,1
1178,0,3380,1
1179,0,3380,1
1184,1,11442,1
1184,1,11443,1
1184,0,3380,5
1184,0,11442,1
1184,0,11443,1
1184,2,3409,5
1184,2,11442,1
1184,2,11443,1
1184,3,3403,5
1184,3,11442,1
1184,3,11443,1
1186,4,11433,1
1186,4,11455,1
1186,4,23087,1
1186,0,3380,1
1191,1,11433,1
1191,1,11455,1
1191,0,3380,5
1191,0,11433,1
1191,0,11455,1
1191,2,3409,5
1191,2,11433,1
1191,2,11455,1
1191,3,3403,5
1191,3,11433,1
1191,3,11455,1
1196,4,11433,1
1196,4,11455,1
1196,4,23087,1
1196,0,3380,1
1204,4,11443,1
1204,4,11442,1
1204,4,23087,1
1204,0,3380,1
1205,1,11442,1
1205,1,11443,1
1205,0,3380,5
1205,0,11442,1
1205,0,11443,1
1205,2,3409,5
1205,2,11442,1
1205,2,11443,1
1205,3,3403,5
1205,3,11442,1
1205,3,11443,1
1208,4,11453,1
1208,4,11448,1
1208,4,21790,1
1208,0,3380,1
1210,4,11448,1
1210,4,11453,1
1210,4,21790,1
1210,0,3380,1
1212,4,11448,1
1212,4,11453,1
1212,4,21790,1
1212,0,3380,1
1214,4,11453,1
1214,4,11446,1
1214,4,21790,1
1214,0,3380,1
1216,0,3380,1
1218,0,3380,1
1220,4,11453,1
1220,4,11449,1
1220,4,21790,1
1220,0,3380,1
1221,4,11453,1
1221,4,11449,1
1221,4,21790,1
1221,0,3380,1
1237,1,11442,1
1237,1,11529,1
1237,0,3380,5
1237,0,11442,1
1237,0,11529,1
1237,2,3409,5
1237,2,11442,1
1237,2,11529,1
1237,3,3403,5
1237,3,11442,1
1237,3,11529,1
1245,4,11529,1
1245,4,11442,1
1245,4,21791,1
1245,0,3380,1
1247,4,11433,1
1247,4,11455,1
1247,4,23087,1
1247,0,3380,1
1249,1,11433,1
1249,1,11455,1
1249,0,3380,5
1249,0,11433,1
1249,0,11455,1
1249,2,3409,5
1249,2,11433,1
1249,2,11455,1
1249,3,3403,5
1249,3,11433,1
1249,3,11455,1
1255,4,11443,1
1255,4,11455,1
1255,4,21790,1
1255,0,3380,1
1257,1,11443,1
1257,1,11455,1
1257,0,3380,5
1257,0,11443,1
1257,0,11455,1
1257,2,3409,5
1257,2,11443,1
1257,2,11455,1
1257,3,3403,5
1257,3,11443,1
1257,3,11455,1
1265,4,11443,1
1265,4,11442,1
1265,4,23087,1
1265,0,3380,1
1267,1,11442,1
1267,1,11443,1
1267,0,3380,5
1267,0,11442,1
1267,0,11443,1
1267,2,3409,5
1267,2,11442,1
1267,2,11443,1
1267,3,3403,5
1267,3,11442,1
1267,3,11443,1
1275,4,11443,1
1275,4,11442,1
1275,4,23087,1
1275,0,3380,1
1277,1,11442,1
1277,1,11443,1
1277,0,3380,5
1277,0,11442,1
1277,0,11443,1
1277,2,3409,5
1277,2,11442,1
1277,2,11443,1
1277,3,3403,5
1277,3,11442,1
1277,3,11443,1
1285,4,11443,1
1285,4,11442,1
1285,4,23087,1
1285,0,3380,1
1287,1,11442,1
1287,1,11443,1
1287,0,3380,5
1287,0,11442,1
1287,0,11443,1
1287,2,3409,5
1287,2,11442,1
1287,2,11443,1
1287,3,3403,5
1287,3,11442,1
1287,3,11443,1
1295,4,11443,1
1295,4,11442,1
1295,4,23087,1
1295,0,3380,1
1297,1,11442,1
1297,1,11443,1
1297,0,3380,5
1297,0,11442,1
1297,0,11443,1
1297,2,3409,5
1297,2,11442,1
1297,2,11443,1
1297,3,3403,5
1297,3,11442,1
1297,3,11443,1
1305,4,11443,1
1305,4,11442,1
1305,4,23087,1
1305,0,3380,1
1307,1,11442,1
1307,1,11443,1
1307,0,3380,5
1307,0,11442,1
1307,0,11443,1
1307,2,3409,5
1307,2,11442,1
1307,2,11443,1
1307,3,3403,5
1307,3,11442,1
1307,3,11443,1
1318,4,11529,1
1318,4,11442,1
1318,4,23121,1
1318,0,3380,1
1320,1,11442,1
1320,1,11529,1
1320,0,3380,5
1320,0,11442,1
1320,0,11529,1
1320,2,3409,5
1320,2,11442,1
1320,2,11529,1
1320,3,3403,5
1320,3,11442,1
1320,3,11529,1
1334,4,11529,1
1334,4,11442,1
1334,4,23121,1
1334,0,3380,1
1336,1,11442,1
1336,1,11529,1
1336,0,3380,5
1336,0,11442,1
1336,0,11529,1
1336,2,3409,5
1336,2,11442,1
1336,2,11529,1
1336,3,3403,5
1336,3,11442,1
1336,3,11529,1
1354,4,11433,1
1354,4,11455,1
1354,4,23087,1
1354,0,3380,1
1356,1,11433,1
1356,1,11455,1
1356,0,3380,5
1356,0,11433,1
1356,0,11455,1
1356,2,3409,5
1356,2,11433,1
1356,2,11455,1
1356,3,3403,5
1356,3,11433,1
1356,3,11455,1
1404,4,11529,1
1404,4,11442,1
1404,4,21791,1
1404,0,3380,1
1406,1,11442,1
1406,1,11529,1
1406,0,3380,5
1406,0,11442,1
1406,0,11529,1
1406,2,3409,5
1406,2,11442,1
1406,2,11529,1
1406,3,3403,5
1406,3,11442,1
1406,3,11529,1
1423,1,11443,1
1423,1,11455,1
1423,0,3380,5
1423,0,11443,1
1423,0,11455,1
1423,2,3409,5
1423,2,11443,1
1423,2,11455,1
1423,3,3403,5
1423,3,11443,1
1423,3,11455,1
1437,1,11448,1
1437,1,11453,1
1437,0,3380,5
1437,0,11448,1
1437,0,11453,1
1437,2,3409,5
1437,2,11448,1
1437,2,11453,1
1437,3,3403,5
1437,3,11448,1
1437,3,11453,1
1446,4,11433,1
1446,4,11455,1
1446,4,23087,1
1446,0,3380,1
1448,1,11433,1
1448,1,11455,1
1448,0,3380,5
1448,0,11433,1
1448,0,11455,1
1448,2,3409,5
1448,2,11433,1
1448,2,11455,1
1448,3,3403,5
1448,3,11433,1
1448,3,11455,1
1540,4,11433,1
1540,4,11455,1
1540,4,23087,1
1540,0,3380,1
1542,1,11433,1
1542,1,11455,1
1542,0,3380,5
1542,0,11433,1
1542,0,11455,1
1542,2,3409,5
1542,2,11433,1
1542,2,11455,1
1542,3,3403,5
1542,3,11433,1
1542,3,11455,1
1548,4,11529,1
1548,4,11451,1
1548,4,21791,1
1548,0,3380,1
1550,1,11529,1
1550,1,11451,1
1550,0,3380,5
1550,0,11529,1
1550,0,11451,1
1550,2,3409,5
1550,2,11529,1
1550,2,11451,1
1550,3,3403,5
1550,3,11529,1
1550,3,11451,1
1552,4,11451,1
1552,4,11529,1
1552,4,21790,1
1552,0,3380,1
1554,1,11451,1
1554,1,11529,1
1554,0,3380,5
1554,0,11451,1
1554,0,11529,1
1554,2,3409,5
1554,2,11451,1
1554,2,11529,1
1554,3,3403,5
1554,3,11451,1
1554,3,11529,1
1558,4,11529,1
1558,4,11451,1
1558,4,23121,1
1558,0,3380,1
1560,1,11529,1
1560,1,11451,1
1560,0,3380,5
1560,0,11529,1
1560,0,11451,1
1560,2,3409,5
1560,2,11529,1
1560,2,11451,1
1560,3,3403,5
1560,3,11529,1
1560,3,11451,1
1564,4,11529,1
1564,4,11451,1
1564,4,23087,1
1564,0,3380,1
1566,1,11529,1
1566,1,11451,1
1566,0,3380,5
1566,0,11529,1
1566,0,11451,1
1566,2,3409,5
1566,2,11529,1
1566,2,11451,1
1566,3,3403,5
1566,3,11529,1
1566,3,11451,1
1809,4,11443,1
1809,4,11455,1
1809,4,21790,1
1809,0,3380,1
1811,0,3380,1
1815,0,3380,1
1817,0,3380,1
1819,0,3380,1
1821,0,3380,1
1823,0,3380,1
1825,0,3380,1
1827,0,3380,1
1829,0,3380,1
1831,0,3380,1
1833,0,3380,1
1856,1,11448,1
1856,1,11453,1
1856,0,3380,5
1856,0,11448,1
1856,0,11453,1
1856,2,3409,5
1856,2,11448,1
1856,2,11453,1
1856,3,3403,5
1856,3,11448,1
1856,3,11453,1
1876,4,11449,1
1876,4,11452,1
1876,4,21790,1
1876,0,3380,1
1878,1,11449,1
1878,1,11452,1
1878,0,3380,5
1878,0,11449,1
1878,0,11452,1
1878,2,3409,5
1878,2,11449,1
1878,2,11452,1
1878,3,3403,5
1878,3,11449,1
1878,3,11452,1
1945,4,11444,1
1945,4,11529,1
1945,4,23087,1
1945,0,3380,1
2007,4,11444,1
2007,4,11433,1
2007,4,23087,1
2007,0,3380,1
2019,4,11433,1
2019,4,11455,1
2019,4,23087,1
2019,0,3380,1
2021,4,11433,1
2021,4,11455,1
2021,4,23087,1
2021,0,3380,1
2023,4,11433,1
2023,4,11455,1
2023,4,23087,1
2023,0,3380,1
2025,1,11433,1
2025,1,11455,1
2025,0,3380,5
2025,0,11433,1
2025,0,11455,1
2025,2,3409,5
2025,2,11433,1
2025,2,11455,1
2025,3,3403,5
2025,3,11433,1
2025,3,11455,1
2033,1,11433,1
2033,1,11455,1
2033,0,3380,5
2033,0,11433,1
2033,0,11455,1
2033,2,3409,5
2033,2,11433,1
2033,2,11455,1
2033,3,3403,5
2033,3,11433,1
2033,3,11455,1
2039,1,11448,1
2039,1,11453,1
2039,0,3380,5
2039,0,11448,1
2039,0,11453,1
2039,2,3409,5
2039,2,11448,1
2039,2,11453,1
2039,3,3403,5
2039,3,11448,1
2039,3,11453,1
2047,4,11529,1
2047,4,11442,1
2047,4,23121,1
2047,0,3380,1
2049,1,11442,1
2049,1,11529,1
2049,0,3380,5
2049,0,11442,1
2049,0,11529,1
2049,2,3409,5
2049,2,11442,1
2049,2,11529,1
2049,3,3403,5
2049,3,11442,1
2049,3,11529,1
2118,1,11448,1
2118,1,11453,1
2118,0,3380,5
2118,0,11448,1
2118,0,11453,1
2118,2,3409,5
2118,2,11448,1
2118,2,11453,1
2118,3,3403,5
2118,3,11448,1
2118,3,11453,1
2162,4,11444,1
2162,4,11453,1
2162,4,23087,1
2162,0,3380,1
2174,4,11453,1
2174,4,11446,1
2174,4,23087,1
2174,0,3380,1
2176,1,11446,1
2176,1,11453,1
2176,0,3380,5
2176,0,11446,1
2176,0,11453,1
2176,2,3409,5
2176,2,11446,1
2176,2,11453,1
2176,3,3403,5
2176,3,11446,1
2176,3,11453,1
2184,4,11453,1
2184,4,11446,1
2184,4,23121,1
2184,0,3380,1
2186,1,11446,1
2186,1,11453,1
2186,0,3380,5
2186,0,11446,1
2186,0,11453,1
2186,2,3409,5
2186,2,11446,1
2186,2,11453,1
2186,3,3403,5
2186,3,11446,1
2186,3,11453,1
2194,4,11453,1
2194,4,11446,1
2194,4,23087,1
2194,0,3380,1
2196,1,11446,1
2196,1,11453,1
2196,0,3380,5
2196,0,11446,1
2196,0,11453,1
2196,2,3409,5
2196,2,11446,1
2196,2,11453,1
2196,3,3403,5
2196,3,11446,1
2196,3,11453,1
2204,4,11453,1
2204,4,11446,1
2204,4,23087,1
2204,0,3380,1
2206,1,11446,1
2206,1,11453,1
2206,0,3380,5
2206,0,11446,1
2206,0,11453,1
2206,2,3409,5
2206,2,11446,1
2206,2,11453,1
2206,3,3403,5
2206,3,11446,1
2206,3,11453,1
2282,1,11443,1
2282,1,11455,1
2282,0,3380,5
2282,0,11443,1
2282,0,11455,1
2282,2,11443,1
2282,2,11455,1
2282,3,11443,1
2282,3,11455,1
2290,4,11443,1
2290,4,11455,1
2290,4,21790,1
2290,0,3380,1
2292,4,11443,1
2292,4,11455,1
2292,4,21790,1
2292,0,3380,1
2294,4,11443,1
2294,4,11455,1
2294,4,21790,1
2294,0,3380,1
2296,4,11443,1
2296,4,11455,1
2296,4,21790,1
2296,0,3380,1
2298,1,11443,1
2298,1,11455,1
2298,0,3380,5
2298,0,11443,1
2298,0,11455,1
2298,2,11443,1
2298,2,11455,1
2298,3,11443,1
2298,3,11455,1
2300,1,11443,1
2300,1,11455,1
2300,0,3380,5
2300,0,11443,1
2300,0,11455,1
2300,2,11443,1
2300,2,11455,1
2300,3,11443,1
2300,3,11455,1
2302,1,11443,1
2302,1,11455,1
2302,0,3380,5
2302,0,11443,1
2302,0,11455,1
2302,2,11443,1
2302,2,11455,1
2302,3,11443,1
2302,3,11455,1
2304,1,11443,1
2304,1,11455,1
2304,0,3380,5
2304,0,11443,1
2304,0,11455,1
2304,2,11443,1
2304,2,11455,1
2304,3,11443,1
2304,3,11455,1
2332,4,11443,1
2332,4,11455,1
2332,4,21790,1
2332,0,3380,1
2334,1,11448,1
2334,1,11453,1
2334,0,3380,5
2334,0,11448,1
2334,0,11453,1
2334,2,3409,5
2334,2,11448,1
2334,2,11453,1
2334,3,3403,5
2334,3,11448,1
2334,3,11453,1
2342,1,11448,1
2342,1,11453,1
2342,0,3380,5
2342,0,11448,1
2342,0,11453,1
2342,2,3409,5
2342,2,11448,1
2342,2,11453,1
2342,3,3403,5
2342,3,11448,1
2342,3,11453,1
2356,1,11442,1
2356,1,11529,1
2356,0,3380,5
2356,0,11442,1
2356,0,11529,1
2356,2,3409,5
