typeID,name
485,150mm Light AutoCannon I
486,200mm AutoCannon I
487,250mm Light Artillery Cannon I
488,280mm Howitzer Artillery I
489,Dual 180mm AutoCannon I
490,220mm Vulcan AutoCannon I
491,425mm AutoCannon I
492,650mm Artillery Cannon I
493,720mm Howitzer Artillery I
494,Dual 425mm AutoCannon I
495,Dual 650mm Repeating Cannon I
496,800mm Repeating Cannon I
497,1200mm Artillery Cannon I
498,1400mm Howitzer Artillery I
499,Light Missile Launcher I
501,Heavy Missile Launcher I
503,Torpedo Launcher I
506,'Basic' Capacitor Power Relay
508,'Basic' Shield Flux Coil
509,'Basic' Capacitor Flux Coil
518,'Basic' Gyrostabilizer
519,Gyrostabilizer II
520,Gyrostabilizer I
521,'Basic' Damage Control
522,'Micro' Cap Battery
523,Small Armor Repairer I
524,Small Hull Repairer I
526,Stasis Webifier I
527,Stasis Webifier II
529,Small Remote Capacitor Transmitter I
530,Small Energy Nosferatu I
533,Small Energy Neutralizer I
561,75mm Gatling Rail I
562,Light Electron Blaster I
563,Light Ion Blaster I
564,Light Neutron Blaster I
565,150mm Railgun I
566,Heavy Electron Blaster I
567,Dual 150mm Railgun I
568,Heavy Neutron Blaster I
569,Heavy Ion Blaster I
570,250mm Railgun I
571,Electron Blaster Cannon I
572,Dual 250mm Railgun I
573,Neutron Blaster Cannon I
574,425mm Railgun I
575,Ion Blaster Cannon I
577,Medium Capacitor Booster I
578,Adaptive Invulnerability Field I
580,Burst Jammer I
581,Passive Targeter I
582,Bantam
583,Condor
584,Griffin
585,Slasher
586,Probe
587,Rifter
588,Reaper
589,Executioner
590,Inquisitor
591,Tormentor
592,Navitas
593,Tristan
594,Incursus
596,Impairor
597,Punisher
598,Breacher
599,Burst
601,Ibis
602,Kestrel
603,Merlin
605,Heron
606,Velator
607,Imicus
608,Atron
609,Maulus
615,Immolator
617,Echo
620,Osprey
621,Caracal
622,Stabber
623,Moa
624,Maller
625,Augoror
626,Vexor
627,Thorax
628,Arbitrator
629,Rupture
630,Bellicose
631,Scythe
632,Blackbird
633,Celestis
634,Exequror
635,Opux Luxury Yacht
638,Raven
639,Tempest
640,Scorpion
641,Megathron
642,Apocalypse
643,Armageddon
644,Typhoon
645,Dominix
648,Badger
649,Tayra
650,Nereus
651,Hoarder
652,Mammoth
653,Wreathe
654,Kryos
655,Epithal
656,Miasmos
657,Iteron Mark V
671,Erebus
672,Caldari Shuttle
1182,Auto Targeting System I
1183,Small Armor Repairer II
1185,Small Cap Battery I
1190,Small Remote Capacitor Transmitter II
1192,'Basic' Overdrive Injector System
1193,Basic EM Plating
1195,Cap Recharger I
1197,EM Plating I
1198,EM Plating II
1201,Wasp I
1202,Civilian Mining Drone
1223,Bistot
1224,Pyroxeres
1225,Crokite
1226,Jaspet
1227,Omber
1228,Scordite
1229,Gneiss
1230,Veldspar
1231,Hemorphite
1232,Dark Ochre
1236,Overdrive Injector System II
1240,'Basic' Reinforced Bulkheads
1242,'Basic' Nanofiber Internal Structure
1244,Overdrive Injector System I
1246,Capacitor Flux Coil I
1248,Capacitor Flux Coil II
1254,Shield Flux Coil I
1256,Shield Flux Coil II
1262,Basic Explosive Plating
1264,Explosive Plating I
1266,Explosive Plating II
1272,Basic Layered Plating
1274,Layered Plating I
1276,Layered Plating II
1282,Basic Kinetic Plating
1284,Kinetic Plating I
1286,Kinetic Plating II
1292,Basic Thermal Plating
1294,Thermal Plating I
1296,Thermal Plating II
1302,Basic Adaptive Nano Plating
1304,Adaptive Nano Plating I
1306,Adaptive Nano Plating II
1315,'Basic' Expanded Cargohold
1317,Expanded Cargohold I
1319,Expanded Cargohold II
1333,Reinforced Bulkheads I
1335,Reinforced Bulkheads II
1351,Basic Reactor Control Unit
1353,Reactor Control Unit I
1355,Reactor Control Unit II
1401,'Basic' Inertial Stabilizers
1403,Inertial Stabilizers I
1405,Inertial Stabilizers II
1419,'Basic' Shield Power Relay
1422,Shield Power Relay II
1436,Auto Targeting System II
1445,Capacitor Power Relay I
1447,Capacitor Power Relay II
1537,'Basic' Power Diagnostic System
1539,Power Diagnostic System I
1541,Power Diagnostic System II
1547,Small Proton Smartbomb I
1549,Small Proton Smartbomb II
1551,Small Graviton Smartbomb I
1553,Small Graviton Smartbomb II
1557,Small Plasma Smartbomb I
1559,Small Plasma Smartbomb II
1563,Small EMP Smartbomb I
1565,Small EMP Smartbomb II
1798,Basic EM Ward Amplifier
1800,Basic Thermal Dissipation Amplifier
1802,Basic Kinetic Deflection Amplifier
1804,Basic Explosive Deflection Amplifier
1808,EM Ward Amplifier I
1810,Scourge Auto-Targeting Light Missile I
1814,Nova Auto-Targeting Light Missile I
1816,Inferno Auto-Targeting Light Missile I
1818,Scourge Auto-Targeting Heavy Missile I
1820,Mjolnir Auto-Targeting Heavy Missile I
1822,Nova Auto-Targeting Heavy Missile I
1824,Inferno Auto-Targeting Heavy Missile I
1826,Scourge Auto-Targeting Cruise Missile I
1828,Mjolnir Auto-Targeting Cruise Missile I
1830,Nova Auto-Targeting Cruise Missile I
1832,Inferno Auto-Targeting Cruise Missile I
1855,Ship Scanner II
1875,Rapid Light Missile Launcher I
1877,Rapid Light Missile Launcher II
1893,'Basic' Heat Sink
1944,Bestower
1948,Magnetometric ECM I
1949,'Basic' Signal Amplifier
1951,'Basic' Tracking Enhancer
1952,Sensor Booster II
1955,Gravimetric ECM I
1956,Radar ECM I
1957,Multispectral ECM I
1958,Ladar ECM I
1963,Remote Sensor Booster I
1964,Remote Sensor Booster II
1968,Remote Sensor Dampener I
1969,Remote Sensor Dampener II
1973,Sensor Booster I
1977,Tracking Computer I
1978,Tracking Computer II
1986,Signal Amplifier I
1987,Signal Amplifier II
1998,Tracking Enhancer I
1999,Tracking Enhancer II
2001,Cynosural Suppression
2006,Omen
2008,Cynosural Navigation
2009,Supercapital Construction Facilities
2013,Hostages
2018,Medium Cap Battery I
2020,Large Cap Battery I
2024,Medium Capacitor Booster II
2026,Pirate Detection Array 1
2027,Pirate Detection Array 2
2028,Pirate Detection Array 3
2029,Pirate Detection Array 4
2030,Pirate Detection Array 5
2031,Entrapment Array 1
2032,Cap Recharger II
2034,Entrapment Array 2
2035,Entrapment Array 3
2036,Entrapment Array 4
2037,Entrapment Array 5
2038,Cargo Scanner II
2040,Ore Prospecting Array 1
2041,Ore Prospecting Array 2
2042,Ore Prospecting Array 3
2043,Ore Prospecting Array 4
2044,Ore Prospecting Array 5
2046,Damage Control I
2048,Damage Control II
2050,Gistum C-Type Adaptive Invulnerability Field
2053,Survey Networks 1
2054,Survey Networks 2
2055,Survey Networks 3
2056,Survey Networks 4
2057,Survey Networks 5
2058,Quantum Flux Generator 1
2059,Quantum Flux Generator 2
2060,Quantum Flux Generator 3
2061,Quantum Flux Generator 4
2062,Quantum Flux Generator 5
2073,Microorganisms
2074,Zazzmatazz
2075,Consolidated Holdings Commander Access Key
2076,Gate Key
2078,Zephyr
2082,Genolution Core Augmentation CA-1
2083,Prototype Iris Probe Launcher
2093,Kidnapped Citizens
2100,Phenod's DNA
2103,Remote Tracking Computer I
2104,Remote Tracking Computer II
2108,Tracking Disruptor I
2109,Tracking Disruptor II
2117,Burst Jammer II
2161,Crucifier
2173,Infiltrator I
2175,Infiltrator II
2178,Guristas Nova XL Cruise Missile
2180,Guristas Scourge XL Cruise Missile
2182,Guristas Inferno XL Cruise Missile
2183,Hammerhead I
2185,Hammerhead II
2188,Guristas Mjolnir XL Cruise Missile
2193,Praetor I
2195,Praetor II
2197,Environmentally-friendly Mining Equipment
2198,Crate of Environmentally-friendly Mining Equipment
2199,Prototype Body Armor Fabric 
2200,Crate of Prototype Body Armor Fabric 
2201,Riot Interdiction Team
2202,Riot Interdiction Teams
2203,Acolyte I
2205,Acolyte II
2215,Amarr TIL-1A Nexus Chips 
2216,Crate of Amarr TIL-1A Nexus Chips
2217,Preacher
2219,Large Group of Civilian Workers and Dependents
2220,Civilian Workers and Dependents
2221,Manportable Electromagnetic Pulse Weapons 
2226,Sisters of EVE Negotiator
2239,Oura Madusaari
2240,Harroken Ikero
2244,Fajah Ateshi
2250,Neurowave Pattern Scanner
2254,Temperate Command Center
2256,Temperate Launchpad
2257,Ice Storage Facility
2267,Base Metals
2268,Aqueous Liquids
2270,Noble Metals
2272,Heavy Metals
2280,Link
2286,Planktic Colonies
2287,Complex Organisms
2288,Carbon Compounds
2289,Explosive Deflection Field I
2291,Kinetic Deflection Field I
2293,EM Ward Field I
2295,Thermal Dissipation Field I
2297,Explosive Deflection Field II
2299,Kinetic Deflection Field II
2301,EM Ward Field II
2303,Thermal Dissipation Field II
2305,Autotrophs
2306,Non-CS Crystals
2307,Felsic Magma
2308,Suspended Plasma
2309,Ionic Solutions
2310,Noble Gas
2311,Reactive Gas
2312,Supertensile Plastics
2317,Oxides
2319,Test Cultures
2321,Polyaramids
2327,Microfiber Shielding
2328,Water-Cooled CPU
2329,Biocells
2331,Shield Power Relay I
2333,Survey Scanner II
2341,Passive Targeter II
2344,Condensates
2345,Camera Drones
2346,Synthetic Synapses
2348,Gel-Matrix Biopaste
2349,Supercomputers
2351,Smartfab Units
2352,Nuclear Reactors
2354,Neocoms
2355,Small Hull Repairer II
2358,Biotech Research Reports
2360,Industrial Explosives
2361,Hermetic Membranes
2363,Heat Sink I
2364,Heat Sink II
2366,Hazmat Detection Systems
2367,Cryoprotectant Solution
2368,Broken Organic Mortar Applicators
2369,Broken Sterile Conduits
2371,Broken Nano-Factory
2373,Broken Self-Harmonizing Power Core
2374,Broken Recursive Computing Module
2375,Broken Broadcast Node
2376,Broken Integrity Response Drones
2377,Broken Wetware Mainframe
2389,Plasmoids
2390,Electrolytes
2392,Oxidizing Compound
2393,Bacteria
2395,Proteins
2396,Biofuels
2397,Industrial Fibers
2398,Reactive Metals
2399,Precious Metals
2400,Toxic Metals
2401,Chiral Structures
2403,Advanced Planetology
2404,Light Missile Launcher II
2406,Planetology
2409,Barren Aqueous Liquid Extractor
2410,Heavy Missile Launcher II
2412,Temperate Aqueous Liquid Extractor
2413,Storm Aqueous Liquid Extractor
2414,Oceanic Aqueous Liquid Extractor
2415,Ice Aqueous Liquid Extractor
2416,Gas Aqueous Liquid Extractor
2417,Plasma Suspended Plasma Extractor
2418,Lava Suspended Plasma Extractor
2419,Storm Suspended Plasma Extractor
2420,Torpedo Launcher II
2422,Storm Ionic Solutions Extractor
2423,Ice Noble Gas Extractor
2424,Gas Ionic Solutions Extractor
2425,Storm Noble Gas Extractor
2426,Gas Noble Gas Extractor
2427,Gas Reactive Gas Extractor
2428,Lava Base Metals Extractor
2429,Plasma Base Metals Extractor
2430,Barren Base Metals Extractor
2431,Storm Base Metals Extractor
2432,Ice Microorganisms Extractor
2433,Gas Base Metals Extractor
2434,Plasma Noble Metals Extractor
2435,Barren Noble Metals Extractor
2436,Wasp II
2438,Ice Planktic Colonies Extractor
2439,Lava Heavy Metals Extractor
2440,Plasma Heavy Metals Extractor
2441,Ice Heavy Metals Extractor
2442,Lava Non-CS Crystals Extractor
2443,Plasma Non-CS Crystals Extractor
2444,Ogre I
2446,Ogre II
2448,Lava Felsic Magma Extractor
2449,Barren Microorganisms Extractor
2450,Temperate Microorganisms Extractor
2451,Oceanic Microorganisms Extractor
2452,Oceanic Planktic Colonies Extractor
2453,Temperate Complex Organisms Extractor
2454,Hobgoblin I
2456,Hobgoblin II
2458,Oceanic Complex Organisms Extractor
2459,Barren Carbon Compounds Extractor
2460,Temperate Carbon Compounds Extractor
2461,Oceanic Carbon Compounds Extractor
2462,Temperate Autotrophs Extractor
2463,Nanites
2464,Hornet I
2466,Hornet II
2469,Lava Basic Industry Facility
2470,Lava Advanced Industry Facility
2471,Plasma Basic Industry Facility
2472,Plasma Advanced Industry Facility
2473,Barren Basic Industry Facility
2474,Barren Advanced Industry Facility
2475,Barren High-Tech Production Plant
2476,Berserker I
2478,Berserker II
2480,Temperate Advanced Industry Facility
2481,Temperate Basic Industry Facility
2482,Temperate High-Tech Production Plant
2483,Storm Basic Industry Facility
2484,Storm Advanced Industry Facility
2485,Oceanic Advanced Industry Facility
2486,Warrior I
2488,Warrior II
2490,Oceanic Basic Industry Facility
2491,Ice Advanced Industry Facility
2492,Gas Basic Industry Facility
2493,Ice Basic Industry Facility
2494,Gas Advanced Industry Facility
2495,Interplanetary Consolidation
2505,Command Center Upgrades
2506,Mjolnir Torpedo
2508,Nova Torpedo
2510,Inferno Torpedo
2512,Mjolnir Rocket
2514,Inferno Rocket
2516,Nova Rocket
2524,Barren Command Center
2525,Oceanic Command Center
2529,Explosive Deflection Amplifier I
2531,Explosive Deflection Amplifier II
2533,Ice Command Center
2534,Gas Command Center
2535,Oceanic Storage Facility
2536,Gas Storage Facility
2537,Thermal Dissipation Amplifier I
2539,Thermal Dissipation Amplifier II
2541,Barren Storage Facility
2542,Oceanic Launchpad
2543,Gas Launchpad
2544,Barren Launchpad
2545,Kinetic Deflection Amplifier I
2547,Kinetic Deflection Amplifier II
2549,Lava Command Center
2550,Storm Command Center
2551,Plasma Command Center
2552,Ice Launchpad
2553,EM Ward Amplifier II
2555,Lava Launchpad
2556,Plasma Launchpad
2557,Storm Launchpad
2558,Lava Storage Facility
2559,Ladar ECM II
2560,Plasma Storage Facility
2561,Storm Storage Facility
2562,Temperate Storage Facility
2563,Magnetometric ECM II
2567,Multispectral ECM II
2571,Gravimetric ECM II
2575,Radar ECM II
2589,Genolution Core Augmentation CA-2
2595,Encoded Data Chip
2596,Crates of Clothing
2597,Crates of Command Reports
2598,Crates of Coolant
2599,Crates of Corporate Documents
2601,Crates of Data Sheets
2602,Crates of Drill Parts
2603,Nanofiber Internal Structure I
2605,Nanofiber Internal Structure II
2608,Crates of Fertilizer
2610,Crates of Frozen Food
2613,Mjolnir Fury Light Missile
2615,Crates of Garbage
2616,Large Crates of Coolant
2617,Crates of Guidance Systems
2618,Crates of Harroule Dryweed
2619,Crates of High-Tech Small Arms
2620,Crates of Liparer Cheese
2621,Inferno Fury Cruise Missile
2623,Crates of Listening Post Recordings
2624,Crates of Mechanical Parts
2626,Crates of Missile Guidance Systems
2627,Crates of Mono-Cell Batteries
2628,Crates of Odd Data Crystals
2629,Scourge Fury Heavy Missile
2631,Crates of OP Insecticide
2632,Crates of Oxygen
2633,Crates of Planetary Vehicles
2635,Crates of Protein Delicacies
2636,Crates of Raggy Dolls
2637,Inferno Precision Cruise Missile
2639,Crates of Repair Parts
2640,Crates of Replacement Parts
2641,Crates of Reports
2642,Crates of Robotics
2644,Crates of Small Arms
2645,Crates of Soil
2646,Crates of Spiced Wine
2647,Inferno Precision Light Missile
2652,Crates of Synthetic Oil
2653,Crates of Vaccine Injectors
2654,Crates of Viral Agent
2655,Nova Precision Heavy Missile
2657,Crates of Vitoc
2659,Crates of Water
2660,Crates of Zemnar
2662,Group of Army Recruits
2663,Group of Cattle
2665,Group of Elite Slaves
2666,Group of Exotic Dancers
2668,Group of Genetically Enhanced Livestock
2669,Group of Kameiras
2670,Group of Marines
2671,Group of Militants
2672,Group of Miners
2673,Large Crates of Data Sheets
2674,Group of Refugees
2675,Group of Science Graduates
2676,Group of Security Personnel
2677,Group of Slaves
2678,Group of Tourists
2679,Scourge Rage Heavy Assault Missile
2681,Group of VIPs
2682,Large Crates of Galeptos Medicine
2683,Large Crates of Guidance Systems
2684,Large Crates of Harroule Dryweed
2685,Large Crates of Holoreels
2686,Large Crates of Liparer Cheese
2687,Large Crates of Mechanical Parts
2688,Large Crates of Mono-Cell Batteries
2689,Large Crates of Oxygen
2690,Large Crates of Planetary Vehicles
2691,Large Crates of Polytextiles
2692,Large Crates of Protein Delicacies
2693,Large Crates of Reports
2694,Large Crates of Small Arms
2695,Large Crates of Soil
2696,Large Crates of Spirits
2697,Large Crates of Synthetic Oil
2698,Large Crates of Vitoc
2699,Large Group of Civilians
2700,Large Group of Exotic Dancers
2701,Large Group of Genetically Enhanced Livestock
2702,Large Group of Homeless
2703,Large Group of Kameiras
2704,Large Group of Marines
2705,Large Group of Militants
2706,Large Group of Science Graduates
2707,Large Group of Slaves
2708,Large Group of Tourists
2709,Large Group of VIPs
2710,Large Crates of Construction Blocks
2711,Large Crates of Crystal Eggs
2712,Large Crates of Drill Parts
2713,Large Crates of Electronic Parts
2714,Large Crates of Fertilizer
2715,Large Crates of Frozen Food
2716,Large Crates of Frozen Plant Seeds
2717,Large Crates of Garbage
2718,Large Crates of Long-limb Roes
2719,Large Crates of Raggy Dolls
2720,Large Crates of Rocket Fuel
2721,Large Crates of Tobacco
2722,Large Crates of Transmitters
2723,Large Crates of Viral Agent
2724,Large Crates of Water
2725,Large Group of Cattle
2726,Large Group of Janitors
2727,Large Group of Miners
2728,Large Group of Refugees
2729,Crates of Consumer Electronics
2730,Crates of Enriched Uranium
2731,Crates of Silicon
2732,Crates of Silicate Glass
2801,Nova Javelin Torpedo
2811,Inferno Rage Torpedo
2817,Mjolnir Rage Rocket
2833,1000 Aurum Token
2834,Utu
2836,Adrestia
2838,Standard Cerebral Accelerator
2848,Barren Extractor Control Unit
2851,Incriminating Evidence
2853,Salvaged Electronics
2861,Crate of Manportable Electromagnetic Pulse Weapons
2862,Special Forces Weapons and Equipment 
2863,Primae
2865,1200mm Artillery Cannon II
2867,Broadcast Node
2868,Integrity Response Drones
2869,Nano-Factory
2870,Organic Mortar Applicators
2871,Recursive Computing Module
2872,Self-Harmonizing Power Core
2873,125mm Gatling AutoCannon II
2875,Sterile Conduits
2876,Wetware Mainframe
2880,Unknown Dead
2881,150mm Light AutoCannon II
2887,Gallente Admiral's Corpse
2888,Acceleration Gate Authentication Matrix
2889,200mm AutoCannon II
2893,Damning Evidence
2897,220mm Vulcan AutoCannon II
2899,Custom Circuitry
2900,Recovered Data Core
2904,Quantum Entanglement
2905,250mm Light Artillery Cannon II
2912,Minmatar Pilot's Corpse
2913,425mm AutoCannon II
2917,Survivors
2919,Caldari Operative
2921,650mm Artillery Cannon II
2929,800mm Repeating Cannon II
2930,Crate of Special Forces Weapons and Equipment
2934,Counterfeit Voluval Tattoo Chemicals
2937,Dual 180mm AutoCannon II
2942,Captured CEO
2943,Hybrid Slaver Hounds
2944,Kennel of Hybrid Slaver Hounds
2945,Dual 425mm AutoCannon II
2948,Shadow
2951,Large Crate of Improved Inertial Compensation Systems
2952,Crate of Unidentified Fibrous Compound
2953,Dual 650mm Repeating Cannon II
2955,Large Crate of Unidentified Fibrous Compound
2956,Large Crate of Refurbished Mining Drones
2957,Crate of Refurbished Mining Drones
2958,Civilian SIGINT Contractors
2959,Group of Civilian SIGINT Contractors
2960,Spools of Quantrium Wiring
2961,1400mm Howitzer Artillery II
2963,Quantrium Wiring
2964,Aerogel Counteragent
2965,Crate of Aerogel Counteragent
2967,Crate of Target Painter Deflection Plating
2968,Large Crate of Target Painter Deflection Plating
2969,720mm Howitzer Artillery II
2971,Group of Haakar's Striking Hawks
2972,Ditanium Metal Plates
2973,Pallet of Ditanium Metal Plates
2974,Large Group of The Hooded Men
2975,Arctic Warfare Marines
2976,Arctic Warfare Marine Squads
2977,280mm Howitzer Artillery II
2979,Crate of Industrial-Grade Tritanium-Alloy Scraps
2980,Large Crate of Industrial-Grade Tritanium-Alloy Scraps
2981,Crate of Architectural-Quality Plagioclase Paneling
2982,Large Crate of Architectural-Quality Plagioclase Paneling
2983,Corporate Assassin
2984,Deep Cover Corporate Assassin
2985,Dual Heavy Beam Laser II
2987,Crate of Harvester Components
2988,Large Crate of Harvester Components
2989,Decoy Prototype Cloaking Devices
2990,Crate of Decoy Prototype Cloaking Devices
2991,Crate of Amarr Scripture Educational Study Packages (Matari translation)
2992,Large Crate of Amarr Scripture Educational Study Packages (Matari translation)
2993,Dual Light Beam Laser II
2995,Blue Paradise
2996,Crate of Blue Paradise
2997,Crate of Refined C-86 Epoxy Resin
2998,Noctis
2999,Amarr Marine Counter-Boarding Team
3000,Group of Angel Cartel VIPs
3001,Dual Light Pulse Laser II
3003,Large Group of Angel Cartel VIPs
3004,Amarr Marine Counter-Boarding Company
3005,Crate of Feille d'Marnne Champagne
3006,Conditioned House Slaves
3007,Large Crate of Feille d'Marnne Champagne
3008,Herd of Conditioned House Slaves
3009,Focused Medium Beam Laser II
3011,Crate of Bootleg Holoreels
3012,Large Crate of Suspicious Holoreels
3013,Amarr Religious Holoreels
3014,Crate of Amarr Religious Holoreels
3015,Crate of Cryo-Stored Luminaire Skippers
3016,Large Crate of Cryo-Stored Luminaire Skippers
3017,Gatling Pulse Laser II
3019,Crate of Unidentified Ancient Technology
3020,Large Crate of Talocan Station Life-Support Cores
3021,Crate of Portable Emergency Heating Units
3022,Large Crate of Portable Emergency Heating Units
3023,Crate of Archaeological Lot GV87-426-D Artifacts
3024,Large Crate of Archaeological Lot GV87-426-E Artifacts
3025,Heavy Beam Laser II
3027,Crate of Contained Cerrocentite
3028,Large Crate of Contained Mesarchonite
3029,Group of Coriault Couture Collective Display Employees
3030,Large Group of Mannar Textile Institute International Representatives
3031,Crate of Exclusive Simo Reshar Fitness Holoreels
3032,Amarr Forensic Investigative Team
3033,Small Focused Beam Laser II
3035,Large Crate of Exclusive Simo Reshar Fitness Holoreels
3036,Amarr Forensic Investigative Deployment
3037,Crate of Experimental ECM Hybrid Rounds
3038,Large Crate of Experimental ECM Hybrid Rounds
3041,Small Focused Pulse Laser II
3049,Mega Beam Laser II
3057,Mega Pulse Laser II
3060,Gas Extractor Control Unit
3061,Ice Extractor Control Unit
3062,Lava Extractor Control Unit
3063,Oceanic Extractor Control Unit
3064,Plasma Extractor Control Unit
3065,Tachyon Beam Laser II
3067,Storm Extractor Control Unit
3068,Temperate Extractor Control Unit
3069,Incursion ship attributes effects Vanguard
3072,Incursion Effect Assault
3074,150mm Railgun II
3076,Incursion Effect HQ
3077,Zainou 'Gnome' Shield Upgrades SU-602
3078,Zainou 'Gnome' Shield Upgrades SU-604
3079,Zainou 'Gnome' Shield Upgrades SU-606
3080,Zainou 'Gnome' Shield Management SM-702
3081,Zainou 'Gnome' Shield Management SM-704
3082,250mm Railgun II
3084,Zainou 'Gnome' Shield Management SM-706
3085,Zainou 'Gnome' Shield Emission Systems SE-802
3086,Zainou 'Gnome' Shield Emission Systems SE-804
3087,Zainou 'Gnome' Shield Emission Systems SE-806
3088,Zainou 'Gnome' Shield Operation SP-902
3089,Zainou 'Gnome' Shield Operation SP-904
3090,425mm Railgun II
3092,Zainou 'Gnome' Shield Operation SP-906
3093,Eifyr and Co. 'Rogue' Evasive Maneuvering EM-702
3094,Eifyr and Co. 'Rogue' Evasive Maneuvering EM-704
3095,Eifyr and Co. 'Rogue' Evasive Maneuvering EM-706
3096,Eifyr and Co. 'Rogue' Navigation NN-602
3097,Eifyr and Co. 'Rogue' Navigation NN-604
3098,75mm Gatling Rail II
3100,Eifyr and Co. 'Rogue' Navigation NN-606
3101,Eifyr and Co. 'Rogue' Fuel Conservation FC-802
3102,Eifyr and Co. 'Rogue' Fuel Conservation FC-804
3103,Eifyr and Co. 'Rogue' Fuel Conservation FC-806
3104,Eifyr and Co. 'Rogue' Afterburner AB-604
3105,Eifyr and Co. 'Rogue' Afterburner AB-608
3106,Dual 150mm Railgun II
3108,Eifyr and Co. 'Rogue' Afterburner AB-612
3109,Eifyr and Co. 'Rogue' Warp Drive Operation WD-604
3110,Eifyr and Co. 'Rogue' Warp Drive Operation WD-608
3111,Eifyr and Co. 'Rogue' Warp Drive Operation WD-612
3112,Eifyr and Co. 'Rogue' High Speed Maneuvering HS-902
3113,Eifyr and Co. 'Rogue' High Speed Maneuvering HS-904
3114,Dual 250mm Railgun II
3116,Eifyr and Co. 'Rogue' High Speed Maneuvering HS-906
3117,Eifyr and Co. 'Rogue' Warp Drive Speed WS-608
3118,Eifyr and Co. 'Rogue' Warp Drive Speed WS-613
3119,Eifyr and Co. 'Rogue' Warp Drive Speed WS-618
3120,Eifyr and Co. 'Rogue' Acceleration Control AC-602
3121,Eifyr and Co. 'Rogue' Acceleration Control AC-604
3122,Electron Blaster Cannon II
3124,Eifyr and Co. 'Rogue' Acceleration Control AC-606
3125,Zainou 'Deadeye' Guided Missile Precision GP-802
3126,Zainou 'Deadeye' Guided Missile Precision GP-804
3127,Zainou 'Deadeye' Guided Missile Precision GP-806
3128,Zainou 'Deadeye' Missile Bombardment MB-702
3129,Zainou 'Deadeye' Missile Bombardment MB-704
3130,Heavy Electron Blaster II
3132,Zainou 'Deadeye' Missile Bombardment MB-706
3133,Zainou 'Deadeye' Missile Projection MP-702
3134,Zainou 'Deadeye' Missile Projection MP-704
3135,Zainou 'Deadeye' Missile Projection MP-706
3136,Zainou 'Deadeye' Rapid Launch RL-1002
